GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",657,77,370,64,175,84,195,90,27,28,168,84,287,76,283,75,4,8
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1234,77,927,121,363,117,564,113,226,91,338,99,307,101,276,101,31,38
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1432,90,1088,118,238,112,850,149,124,76,726,141,344,105,278,102,66,53
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",1656,138,1258,143,522,158,736,139,258,105,478,122,398,113,313,110,85,55
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",1957,63,1460,103,296,94,1164,125,165,82,999,122,497,109,472,112,25,23
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",745,69,527,81,139,68,388,70,102,67,286,77,218,72,202,71,16,18
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",1262,115,730,109,77,52,653,99,0,12,653,99,532,113,468,103,64,53
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",1672,112,1199,118,516,133,683,153,309,126,374,110,473,110,319,94,154,74
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",892,68,543,77,149,51,394,69,100,59,294,63,349,59,327,53,22,23
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",1076,79,581,133,249,125,332,87,74,55,258,84,495,121,468,116,27,27
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",329,45,253,47,84,37,169,44,53,39,116,43,76,41,56,40,20,20
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",2065,124,899,145,320,105,579,139,159,101,420,115,1166,156,1152,154,14,25
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",2344,100,1658,205,589,145,1069,188,187,143,882,217,686,197,591,170,95,86
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",1892,81,1131,145,476,140,655,133,67,46,588,126,761,133,685,135,76,58
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",1229,87,789,131,314,107,475,114,119,81,356,118,440,118,331,103,109,77
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",1841,78,1146,123,226,85,920,128,210,94,710,132,695,129,607,124,88,53
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",2333,111,1584,196,543,210,1041,200,54,89,987,190,749,179,661,169,88,83
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",979,80,632,112,308,89,324,123,108,62,216,119,347,108,290,95,57,51
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",2608,96,1719,208,432,157,1287,221,88,63,1199,222,889,186,785,175,104,92
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",1298,84,1032,102,370,86,662,107,134,81,528,107,266,83,239,77,27,31
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",676,50,547,59,214,67,333,79,61,41,272,67,129,60,86,48,43,42
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",1775,102,1243,149,643,135,600,129,191,103,409,120,532,132,461,126,71,58
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",1270,83,833,121,349,115,484,116,18,20,466,111,437,117,410,118,27,31
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",1418,45,970,115,401,123,569,122,95,80,474,113,448,102,353,94,95,74
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",1756,78,1057,136,286,86,771,138,113,70,658,122,699,125,632,112,67,54
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",1571,107,1233,123,515,125,718,135,199,100,519,122,338,97,265,88,73,59
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",594,57,460,66,126,55,334,73,22,26,312,70,134,64,119,62,15,18
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",2021,157,1558,212,596,166,962,202,378,139,584,172,463,152,432,148,31,53
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",2235,121,1400,164,277,123,1123,176,240,106,883,184,835,154,779,156,56,52
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",2012,132,1401,174,444,138,957,170,155,109,802,172,611,160,525,163,86,70
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",657,71,527,68,288,72,239,75,60,44,179,65,130,57,120,55,10,16
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",1700,101,1147,110,225,79,922,112,189,85,733,129,553,136,507,134,46,40
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",1376,88,943,130,320,92,623,99,95,63,528,84,433,108,363,95,70,72
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",1817,76,1352,131,308,104,1044,143,186,97,858,134,465,120,407,109,58,53
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",1175,71,819,94,190,74,629,104,117,56,512,94,356,92,324,94,32,27
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",1176,56,894,82,254,86,640,104,73,59,567,105,282,87,276,89,6,11
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",1706,127,1197,141,547,120,650,140,142,87,508,113,509,121,500,120,9,14
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",1709,124,1268,145,459,124,809,127,232,82,577,107,441,129,368,123,73,53
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",690,65,569,83,235,61,334,80,126,65,208,77,121,61,121,61,0,12
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1684,103,1238,152,489,112,749,136,93,60,656,128,446,130,407,133,39,49
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",50,54,42,52,42,52,0,12,0,12,0,12,8,15,8,15,0,12
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",1389,92,1007,102,384,87,623,123,59,56,564,116,382,85,290,82,92,40
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",558,44,378,49,55,41,323,60,88,51,235,69,180,46,173,44,7,13
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",1566,104,1003,136,793,138,210,108,36,49,174,92,563,116,454,114,109,66
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",1878,101,1355,103,369,105,986,135,164,86,822,146,523,122,428,114,95,59
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",898,59,678,71,239,82,439,92,104,60,335,88,220,72,138,53,82,52
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",522,41,327,70,42,40,285,79,28,19,257,81,195,70,153,56,42,41
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",1290,94,931,108,232,87,699,136,95,65,604,132,359,101,319,100,40,40
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",1299,76,937,132,313,100,624,113,107,82,517,113,362,117,320,116,42,40
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",797,45,478,84,173,68,305,75,23,23,282,72,319,81,285,75,34,46
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",1385,105,805,134,179,81,626,128,71,60,555,142,580,117,546,116,34,35
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",449,32,274,68,184,58,90,47,8,13,82,46,175,61,124,55,51,43
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",1583,79,1066,107,429,127,637,125,73,57,564,118,517,114,418,105,99,58
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",2462,105,1788,201,1094,201,694,207,175,102,519,171,674,198,563,193,111,88
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",2188,117,1534,218,498,168,1036,217,304,149,732,209,654,188,619,182,35,42
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",1201,101,816,112,305,92,511,120,82,53,429,118,385,110,324,102,61,58
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",1251,106,725,137,453,130,272,122,94,80,178,82,526,112,416,120,110,86
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",1523,93,840,100,217,82,623,97,101,70,522,89,683,98,649,99,34,30
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",315,44,142,39,46,32,96,36,10,12,86,37,173,54,148,53,25,29
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",2021,128,1342,172,403,129,939,177,39,44,900,175,679,150,580,146,99,64
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",1992,100,1378,140,330,106,1048,156,121,78,927,163,614,138,559,143,55,49
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",2039,37,1585,157,314,152,1271,176,89,88,1182,184,454,159,419,158,35,40
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",1584,73,1206,131,291,97,915,113,66,44,849,116,378,124,360,124,18,29
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",1348,115,848,109,267,93,581,109,85,58,496,95,500,107,439,99,61,50
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",1836,79,1308,128,514,122,794,138,142,84,652,133,528,114,428,100,100,64
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",854,61,654,83,338,94,316,86,49,37,267,78,200,72,185,73,15,16
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",1419,66,820,125,275,113,545,114,77,56,468,112,599,114,530,110,69,61
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",1040,55,778,73,378,93,400,89,101,62,299,89,262,80,240,76,22,26
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",1101,88,735,112,180,97,555,111,77,56,478,120,366,116,289,111,77,73
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",444,43,295,61,172,56,123,63,51,52,72,40,149,52,138,56,11,14
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",673,62,474,84,79,48,395,85,78,56,317,106,199,69,199,69,0,12
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",1495,125,1085,192,803,165,282,143,111,101,171,113,410,135,334,130,76,60
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",1738,63,1054,168,292,105,762,175,100,80,662,172,684,166,648,167,36,45
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",544,63,422,76,209,71,213,60,45,39,168,53,122,59,122,59,0,12
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",403,44,289,53,241,52,48,27,5,8,43,28,114,44,103,42,11,14
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",361,42,268,47,89,50,179,49,13,18,166,47,93,48,73,47,20,23
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",766,64,626,78,409,81,217,69,71,45,146,65,140,50,134,49,6,9
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",695,55,510,58,182,59,328,70,75,39,253,69,185,55,137,48,48,39
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",459,42,278,62,80,35,198,59,16,19,182,59,181,57,130,50,51,39
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",2195,115,1289,152,437,127,852,178,224,134,628,164,906,139,829,139,77,61
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",2308,136,1421,166,318,108,1103,170,237,115,866,168,887,151,819,146,68,57
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",1125,141,799,144,136,73,663,154,173,112,490,135,326,154,233,131,93,100
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",1609,113,985,156,187,81,798,165,215,105,583,158,624,158,596,159,28,38
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",1651,45,1124,124,344,147,780,154,216,123,564,134,527,136,469,134,58,61
1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",1139,49,779,98,331,108,448,106,61,67,387,96,360,93,343,89,17,30
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",977,86,636,111,253,110,383,99,24,28,359,97,341,98,287,90,54,54
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",1573,86,1136,140,590,134,546,140,168,105,378,108,437,131,356,128,81,64
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",1926,59,963,137,356,112,607,124,66,60,541,109,963,131,821,127,142,88
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",1274,55,1037,122,347,113,690,146,166,100,524,136,237,115,186,107,51,39
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",1435,90,973,119,660,114,313,117,102,77,211,96,462,121,416,121,46,47
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",2390,159,1636,165,491,143,1145,168,143,94,1002,163,754,138,686,140,68,47
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",2716,124,1655,186,568,152,1087,186,191,114,896,187,1061,189,983,203,78,64
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",1934,81,1312,132,284,105,1028,128,130,66,898,129,622,138,534,132,88,62
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",723,47,478,74,205,65,273,66,58,46,215,61,245,73,207,83,38,41
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",2560,102,1831,177,671,156,1160,186,350,149,810,181,729,168,639,172,90,79
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",2190,106,1667,174,759,193,908,178,107,72,801,187,523,151,451,135,72,80
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",2618,159,1859,190,599,153,1260,206,193,114,1067,185,759,171,587,164,172,91
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",1484,91,961,138,554,103,407,128,77,37,330,124,523,130,404,113,119,78
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",1298,69,967,102,259,83,708,106,87,79,621,108,331,109,308,100,23,36
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",760,59,492,66,254,65,238,69,36,38,202,65,268,65,244,63,24,25
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",1009,74,764,105,383,92,381,101,168,76,213,98,245,94,192,90,53,48
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",2597,110,1680,209,451,173,1229,198,232,120,997,206,917,178,820,177,97,82
1400000US36005020502,36005020502,"Census Tract 205.02, Bronx County, New York",854,80,461,90,136,77,325,91,42,54,283,83,393,88,384,86,9,14
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",1013,59,692,104,285,68,407,110,130,93,277,85,321,108,311,109,10,17
1400000US36005020900,36005020900,"Census Tract 209, Bronx County, New York",1533,89,971,107,368,114,603,102,109,69,494,110,562,134,423,114,139,84
1400000US36005021001,36005021001,"Census Tract 210.01, Bronx County, New York",3786,199,2194,270,836,241,1358,286,404,153,954,256,1592,300,1443,308,149,135
1400000US36005021002,36005021002,"Census Tract 210.02, Bronx County, New York",2982,158,1401,224,716,205,685,190,76,59,609,188,1581,222,1358,209,223,127
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",1801,90,1160,147,398,126,762,140,122,70,640,140,641,137,513,122,128,68
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",2152,127,1377,188,814,148,563,180,92,65,471,169,775,185,688,179,87,72
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",443,26,308,54,120,51,188,48,102,46,86,45,135,49,100,45,35,37
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",1883,86,1214,148,414,136,800,162,203,100,597,152,669,160,597,156,72,65
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",1126,106,933,117,340,102,593,101,116,68,477,98,193,82,140,74,53,43
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",1987,89,1326,149,426,133,900,156,159,77,741,155,661,130,604,126,57,42
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",1530,85,973,121,308,87,665,114,110,68,555,115,557,106,454,108,103,73
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",2451,95,1465,169,695,165,770,164,246,146,524,150,986,183,893,183,93,62
1400000US36005021700,36005021700,"Census Tract 217, Bronx County, New York",1589,94,1007,120,357,110,650,107,117,58,533,98,582,117,504,97,78,60
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",2166,145,1455,166,613,159,842,159,132,95,710,142,711,164,605,154,106,85
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",434,19,268,50,62,32,206,53,35,29,171,49,166,49,111,41,55,37
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",439,58,291,76,32,29,259,78,98,52,161,71,148,66,120,65,28,23
1400000US36005022101,36005022101,"Census Tract 221.01, Bronx County, New York",1141,58,843,107,180,89,663,114,53,56,610,112,298,98,229,87,69,62
1400000US36005022102,36005022102,"Census Tract 221.02, Bronx County, New York",1534,96,1210,140,361,113,849,154,69,52,780,153,324,115,257,82,67,69
1400000US36005022200,36005022200,"Census Tract 222, Bronx County, New York",1076,74,753,106,377,91,376,94,90,57,286,98,323,99,271,98,52,38
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",1786,65,1212,157,260,114,952,163,273,118,679,181,574,152,515,147,59,48
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",1125,39,617,93,325,88,292,88,82,53,210,84,508,91,482,89,26,24
1400000US36005022403,36005022403,"Census Tract 224.03, Bronx County, New York",1295,77,778,117,368,116,410,109,53,44,357,111,517,125,359,96,158,105
1400000US36005022404,36005022404,"Census Tract 224.04, Bronx County, New York",1746,84,1104,155,639,160,465,143,149,85,316,116,642,155,618,147,24,30
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",2209,113,1572,174,663,186,909,184,338,149,571,140,637,178,594,171,43,42
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",1758,64,1270,129,448,106,822,137,150,86,672,134,488,132,335,96,153,76
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",650,39,380,71,136,64,244,77,53,53,191,61,270,67,253,68,17,19
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",588,41,492,59,253,66,239,75,68,54,171,67,96,52,84,49,12,14
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",2434,119,1505,206,705,195,800,208,122,111,678,191,929,227,860,233,69,64
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",1675,100,1071,137,405,120,666,134,192,92,474,130,604,124,502,119,102,64
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",1042,68,818,98,255,102,563,108,61,53,502,95,224,92,224,92,0,12
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",1041,43,719,81,334,102,385,100,73,56,312,93,322,84,269,90,53,40
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",407,44,278,53,102,43,176,54,25,24,151,54,129,50,94,40,35,39
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",848,68,578,73,348,73,230,64,42,27,188,59,270,76,200,67,70,43
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",1529,72,1082,119,378,111,704,130,200,94,504,116,447,101,398,95,49,29
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",941,75,766,95,199,78,567,100,57,51,510,91,175,71,156,64,19,21
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",1085,58,766,108,278,105,488,113,102,69,386,112,319,100,304,96,15,20
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",1666,64,985,124,436,116,549,125,98,57,451,108,681,127,574,118,107,64
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",651,41,426,73,185,68,241,70,67,50,174,61,225,71,197,64,28,37
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",346,38,268,33,52,39,216,32,31,22,185,28,78,35,52,32,26,27
1400000US36005023703,36005023703,"Census Tract 237.03, Bronx County, New York",1389,121,1065,152,300,147,765,124,108,71,657,130,324,126,281,128,43,44
1400000US36005023704,36005023704,"Census Tract 237.04, Bronx County, New York",1221,86,709,118,217,115,492,133,32,52,460,125,512,133,401,124,111,79
1400000US36005023800,36005023800,"Census Tract 238, Bronx County, New York",776,69,623,78,341,84,282,71,80,60,202,65,153,62,118,55,35,27
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",2515,126,1743,167,406,140,1337,159,151,91,1186,146,772,205,547,188,225,116
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",1191,101,898,137,348,119,550,136,113,77,437,126,293,106,258,107,35,29
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",1841,93,1536,122,368,116,1168,156,196,88,972,161,305,108,289,106,16,25
1400000US36005024300,36005024300,"Census Tract 243, Bronx County, New York",1942,71,1299,125,306,96,993,142,205,95,788,122,643,125,593,124,50,34
1400000US36005024400,36005024400,"Census Tract 244, Bronx County, New York",795,64,549,84,344,99,205,78,47,38,158,72,246,74,225,73,21,25
1400000US36005024501,36005024501,"Census Tract 245.01, Bronx County, New York",1500,81,1131,117,311,120,820,170,123,80,697,162,369,117,295,124,74,58
1400000US36005024502,36005024502,"Census Tract 245.02, Bronx County, New York",1088,91,856,131,298,123,558,137,151,82,407,120,232,102,210,106,22,35
1400000US36005024600,36005024600,"Census Tract 246, Bronx County, New York",779,57,473,90,345,84,128,56,52,40,76,47,306,99,237,93,69,61
1400000US36005024700,36005024700,"Census Tract 247, Bronx County, New York",668,37,400,66,176,73,224,59,15,17,209,62,268,62,249,66,19,20
1400000US36005024800,36005024800,"Census Tract 248, Bronx County, New York",1221,63,720,110,536,106,184,79,56,47,128,68,501,109,392,103,109,75
1400000US36005024900,36005024900,"Census Tract 249, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005025000,36005025000,"Census Tract 250, Bronx County, New York",965,81,611,118,405,104,206,75,83,63,123,64,354,118,344,117,10,16
1400000US36005025100,36005025100,"Census Tract 251, Bronx County, New York",2083,109,1465,164,540,162,925,177,163,97,762,169,618,159,436,138,182,100
1400000US36005025200,36005025200,"Census Tract 252, Bronx County, New York",886,66,602,91,317,77,285,95,85,62,200,86,284,78,222,77,62,35
1400000US36005025300,36005025300,"Census Tract 253, Bronx County, New York",1745,123,1186,137,425,136,761,152,208,101,553,162,559,137,433,122,126,86
1400000US36005025400,36005025400,"Census Tract 254, Bronx County, New York",814,50,464,75,328,73,136,52,51,37,85,43,350,78,324,76,26,22
1400000US36005025500,36005025500,"Census Tract 255, Bronx County, New York",2090,90,1327,158,340,124,987,165,206,125,781,181,763,153,729,158,34,55
1400000US36005025600,36005025600,"Census Tract 256, Bronx County, New York",683,35,411,74,223,75,188,76,40,53,148,73,272,70,272,70,0,12
1400000US36005025700,36005025700,"Census Tract 257, Bronx County, New York",610,48,441,69,150,62,291,62,35,32,256,59,169,65,130,61,39,36
1400000US36005026100,36005026100,"Census Tract 261, Bronx County, New York",1067,87,471,111,289,93,182,93,18,28,164,87,596,102,509,109,87,58
