Unique Key	Created Date	Closed Date	Agency	Agency Name	Complaint Type	Descriptor	Location Type	Incident Zip	Incident Address	Street Name	Cross Street 1	Cross Street 2	Intersection Street 1	Intersection Street 2	Address Type	City	Facility Type	Status	Due Date	Resolution Action Updated Date	Community Board	Borough	Latitude	Longitude
27246836	01/25/2014 02:40:59 AM	01/27/2014 09:49:10 AM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10462	1171 HAVEMEYER AVENUE	HAVEMEYER AVENUE	POWELL AVENUE	GLEASON AVENUE			ADDRESS	BRONX	N/A	Closed	02/08/2014 02:40:59 AM	01/27/2014 09:49:10 AM	09 BRONX	BRONX	40.8318604241	-73.8478782327
27240027	01/24/2014 11:30:08 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11364	212-22 48 AVENUE	48 AVENUE	212 STREET	213 STREET			ADDRESS	OAKLAND GARDENS	N/A	Open	03/10/2014 11:30:08 PM	01/27/2014 09:44:46 AM	11 QUEENS	QUEENS	40.7553237392	-73.7688182417
27243059	01/24/2014 11:14:46 PM	01/27/2014 09:32:47 AM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	10463	5979 BROADWAY	BROADWAY	WEST 242 STREET	MANHATTAN COLLEGE PARKWAY			ADDRESS	BRONX	N/A	Closed	02/07/2014 11:14:46 PM	01/27/2014 09:32:47 AM	08 BRONX	BRONX	40.8897603331	-73.8981379224
27240842	01/24/2014 10:46:44 PM	01/27/2014 09:33:50 AM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	10024	90 WEST 90 STREET	WEST 90 STREET	CENTRAL PARK WEST	COLUMBUS AVENUE			ADDRESS	NEW YORK	N/A	Closed	02/07/2014 10:46:44 PM	01/27/2014 09:33:50 AM	07 MANHATTAN	MANHATTAN	40.7889388289	-73.9700553511
27242315	01/24/2014 09:49:58 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10033					WEST  175 STREET	BROADWAY	INTERSECTION	NEW YORK	N/A	Open	03/10/2014 09:49:58 PM	01/27/2014 09:33:53 AM	12 MANHATTAN	MANHATTAN	40.8461921167	-73.9384507541
27240632	01/24/2014 09:29:20 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10013	25 HUDSON STREET	HUDSON STREET	READE STREET	DUANE STREET			ADDRESS	NEW YORK	N/A	Assigned	02/07/2014 09:29:20 PM	01/27/2014 09:36:00 AM	01 MANHATTAN	MANHATTAN	40.7165551567	-74.0091698781
27242314	01/24/2014 08:01:40 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10019	356 WEST 58 STREET	WEST 58 STREET	8 AVENUE	9 AVENUE			ADDRESS	NEW YORK	N/A	Assigned	02/07/2014 08:01:40 PM	01/27/2014 09:12:49 AM	04 MANHATTAN	MANHATTAN	40.7680459235	-73.9839385013
27240631	01/24/2014 06:27:32 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10001	9 WEST 32 STREET	WEST 32 STREET	5 AVENUE	BROADWAY			ADDRESS	NEW YORK	N/A	Assigned	02/07/2014 06:27:32 PM	01/27/2014 09:09:38 AM	05 MANHATTAN	MANHATTAN	40.7473947392	-73.9860439285
27240598	01/24/2014 05:40:18 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10021	1431 2 AVENUE	2 AVENUE	EAST 74 STREET	EAST 75 STREET			ADDRESS	NEW YORK	N/A	Assigned	02/07/2014 05:40:18 PM	01/27/2014 09:19:10 AM	08 MANHATTAN	MANHATTAN	40.7704654305	-73.957164169
27241969	01/24/2014 01:37:34 PM	01/24/2014 02:10:55 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10065	1175 3 AVENUE	3 AVENUE	EAST 68 STREET	EAST 69 STREET			ADDRESS	NEW YORK	N/A	Closed	02/07/2014 01:37:34 PM	01/24/2014 02:10:55 PM	08 MANHATTAN	MANHATTAN	40.7674013504	-73.9622997051
27241367	01/24/2014 12:58:51 PM	01/24/2014 02:13:03 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11208	1154 STANLEY AVENUE	STANLEY AVENUE	CRESCENT STREET	HEMLOCK STREET			ADDRESS	BROOKLYN	N/A	Closed	02/07/2014 12:58:51 PM	01/24/2014 02:13:03 PM	05 BROOKLYN	BROOKLYN	40.6655248417	-73.8670879752
27244131	01/24/2014 11:35:03 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11373	89-30 QUEENS BOULEVARD	QUEENS BOULEVARD	57 AVENUE	90 STREET			ADDRESS	ELMHURST	N/A	Assigned	02/07/2014 11:35:03 AM	01/24/2014 03:18:53 PM	04 QUEENS	QUEENS	40.734340496	-73.873326602
27242976	01/24/2014 07:45:16 AM	01/24/2014 09:19:12 AM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Other (Explain Below)	11414					83 STREET	155 AVENUE	INTERSECTION	HOWARD BEACH	N/A	Closed	02/07/2014 07:45:16 AM	01/24/2014 09:19:12 AM	10 QUEENS	QUEENS	40.6645003838	-73.8508804121
27236126	01/23/2014 03:03:34 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	11375	100-27 METROPOLITAN AVENUE	METROPOLITAN AVENUE	70 ROAD	70 DRIVE			ADDRESS	FOREST HILLS	N/A	Assigned	02/06/2014 03:03:34 PM	01/24/2014 03:02:04 PM	06 QUEENS	QUEENS	40.7107410174	-73.8525588433
27235645	01/23/2014 08:54:43 AM	01/24/2014 09:22:43 AM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11694	112-15 BEACH CHANNEL DRIVE	BEACH CHANNEL DRIVE	ROCKAWAY FREEWAY	BEND			ADDRESS	ROCKAWAY PARK	N/A	Closed	02/06/2014 08:54:43 AM	01/24/2014 09:22:43 AM	14 QUEENS	QUEENS	40.5827552236	-73.8350423709
27228601	01/23/2014 08:25:26 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	11420					LEFFERTS BOULEVARD	ROCKAWAY BOULEVARD	INTERSECTION	SOUTH OZONE PARK	N/A	Assigned	02/06/2014 08:25:26 AM	01/23/2014 09:44:43 AM	10 QUEENS	QUEENS	40.6761201843	-73.8191397759
27222157	01/22/2014 10:47:15 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11220	5408 8 AVENUE	8 AVENUE	54 STREET	55 STREET			ADDRESS	BROOKLYN	N/A	Assigned	02/05/2014 10:47:15 PM	01/24/2014 02:47:45 PM	07 BROOKLYN	BROOKLYN	40.6387657226	-74.0061721832
27216260	01/22/2014 06:34:54 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11207	754 NEW LOTS AVENUE	NEW LOTS AVENUE	ASHFORD STREET	CLEVELAND STREET			ADDRESS	BROOKLYN	N/A	Open	03/08/2014 06:34:54 PM	01/24/2014 02:44:31 PM	05 BROOKLYN	BROOKLYN	40.6663597994	-73.8827340398
27220583	01/22/2014 06:32:23 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10017	90 EAST 42 STREET	EAST 42 STREET	VANDERBILT AVENUE	PARK AVENUE			ADDRESS	NEW YORK	N/A	Open	03/08/2014 06:32:23 PM	01/24/2014 02:43:28 PM	05 MANHATTAN	MANHATTAN	40.7521363583	-73.9777416033
27219557	01/22/2014 03:38:00 PM	01/24/2014 02:56:22 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Other (Explain Below)	11385	82-56 88 LANE	88 LANE	MYRTLE AVENUE	DEAD END			ADDRESS	RIDGEWOOD	N/A	Closed	02/05/2014 03:38:00 PM	01/24/2014 02:56:22 PM	05 QUEENS	QUEENS	40.7023752566	-73.8571432828
27204648	01/21/2014 09:35:25 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	10032	1047 ST NICHOLAS AVENUE	ST NICHOLAS AVENUE	WEST 162 STREET	WEST 163 STREET			ADDRESS	NEW YORK	N/A	Open	03/07/2014 09:35:25 PM	01/24/2014 01:19:02 PM	12 MANHATTAN	MANHATTAN	40.8364107995	-73.9400173714
27204449	01/21/2014 01:21:52 PM	01/24/2014 01:14:29 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11238	120 LAFAYETTE AVENUE	LAFAYETTE AVENUE	CUMBERLAND STREET	CARLTON AVENUE			ADDRESS	BROOKLYN	N/A	Closed	02/04/2014 01:21:52 PM	01/24/2014 01:14:29 PM	02 BROOKLYN	BROOKLYN	40.6874247935	-73.9725420467
27211152	01/21/2014 11:37:08 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10462	1913 BRONXDALE AVENUE	BRONXDALE AVENUE	MULINER AVENUE	MATTHEWS AVENUE			ADDRESS	BRONX	N/A	Open	03/07/2014 11:37:08 AM	01/24/2014 01:15:39 PM	11 BRONX	BRONX	40.8489503702	-73.862062335
27210993	01/21/2014 11:06:55 AM	01/24/2014 01:16:48 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Other (Explain Below)	10308	100 GREAVES LANE	GREAVES LANE	BEND	OLD AMBOY ROAD			ADDRESS	STATEN ISLAND	N/A	Closed	02/04/2014 11:06:55 AM	01/24/2014 01:16:48 PM	03 STATEN ISLAND	STATEN ISLAND	40.5539928499	-74.1441984015
27200145	01/21/2014 07:55:19 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10036	220 WEST 44 STREET	WEST 44 STREET	7 AVENUE	SHUBERT ALLEY			ADDRESS	NEW YORK	N/A	Open	03/07/2014 07:55:19 AM	01/24/2014 01:16:50 PM	05 MANHATTAN	MANHATTAN	40.757616253	-73.9866951193
27215230	01/21/2014 06:52:23 AM	01/24/2014 01:17:53 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10017	708 3 AVENUE	3 AVENUE	EAST 44 STREET	EAST 45 STREET			ADDRESS	NEW YORK	N/A	Closed	02/04/2014 06:52:23 AM	01/24/2014 01:17:53 PM	06 MANHATTAN	MANHATTAN	40.7523275522	-73.9733237745
27198312	01/20/2014 06:53:50 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10002	31 MARKET STREET	MARKET STREET	HENRY STREET	MADISON STREET			ADDRESS	NEW YORK	N/A	Open	03/06/2014 06:53:50 PM	01/24/2014 02:35:02 PM	03 MANHATTAN	MANHATTAN	40.7126633154	-73.9944197588
27197678	01/20/2014 02:37:43 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11235	1821 EMMONS AVENUE	EMMONS AVENUE	SHEEPSHEAD BAY ROAD	EAST 19 STREET			ADDRESS	BROOKLYN	N/A	Open	03/06/2014 02:37:43 PM	01/24/2014 02:35:05 PM	15 BROOKLYN	BROOKLYN	40.5834831567	-73.9501593828
27195617	01/20/2014 01:56:49 PM	01/27/2014 09:30:30 AM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11219	6123 FORT HAMILTON PARKWAY	FORT HAMILTON PARKWAY	LONG ISLAND RAILROAD	62 STREET			ADDRESS	BROOKLYN	N/A	Closed	02/03/2014 01:56:49 PM	01/27/2014 09:30:30 AM	10 BROOKLYN	BROOKLYN	40.6322111322	-74.0068489012
27194417	01/20/2014 10:23:49 AM	01/21/2014 12:18:31 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	11365	181-30 UNION TURNPIKE	UNION TURNPIKE	182 STREET	KENT STREET			ADDRESS	FRESH MEADOWS	N/A	Closed	02/03/2014 10:23:49 AM	01/21/2014 12:18:31 PM	08 QUEENS	QUEENS	40.7274600889	-73.7864747956
27196958	01/20/2014 09:45:51 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11213	337 UTICA AVENUE	UTICA AVENUE	PRESIDENT STREET	CARROLL STREET			ADDRESS	BROOKLYN	N/A	Open	03/06/2014 09:45:51 AM	01/21/2014 11:14:17 AM	09 BROOKLYN	BROOKLYN	40.6665006297	-73.9313315868
27192046	01/19/2014 08:07:41 PM	01/24/2014 01:38:28 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10451	928 MORRIS AVENUE	MORRIS AVENUE	EAST 162 STREET	EAST 163 STREET			ADDRESS	BRONX	N/A	Closed	02/02/2014 08:07:41 PM	01/24/2014 01:38:28 PM	04 BRONX	BRONX	40.8270869014	-73.9176122205
27191483	01/19/2014 06:41:27 PM	01/21/2014 12:18:28 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10024					WEST   90 STREET	BROADWAY	INTERSECTION	NEW YORK	N/A	Closed	02/02/2014 06:41:27 PM	01/21/2014 12:18:28 PM	07 MANHATTAN	MANHATTAN	40.7908420113	-73.9745651001
27193217	01/19/2014 03:20:54 PM	01/24/2014 01:39:36 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11422	139-20 243 STREET	243 STREET	SOUTH CONDUIT AVENUE	140 AVENUE			ADDRESS	ROSEDALE	N/A	Closed	02/02/2014 03:20:54 PM	01/24/2014 01:39:36 PM	13 QUEENS	QUEENS	40.6651005021	-73.7357525376
27190222	01/19/2014 09:28:07 AM	01/21/2014 12:16:21 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10023	269 AMSTERDAM AVENUE	AMSTERDAM AVENUE	WEST 72 STREET	WEST 73 STREET			ADDRESS	NEW YORK	N/A	Closed	02/02/2014 09:28:07 AM	01/21/2014 12:16:21 PM	07 MANHATTAN	MANHATTAN	40.7789723367	-73.9813505836
27186720	01/18/2014 07:03:10 PM	01/21/2014 10:54:25 AM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10456	1229 BOSTON ROAD	BOSTON ROAD	EAST 168 STREET	EAST 169 STREET			ADDRESS	BRONX	N/A	Closed	02/01/2014 07:03:10 PM	01/21/2014 10:54:25 AM	03 BRONX	BRONX	40.830041478	-73.9017055377
27186690	01/18/2014 04:56:29 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11214	2939 CROPSEY AVENUE	CROPSEY AVENUE	BAY 52 STREET	CANAL AVENUE			ADDRESS	BROOKLYN	N/A	Open	03/04/2014 04:56:29 PM	01/24/2014 01:22:24 PM	13 BROOKLYN	BROOKLYN	40.5834547427	-73.9864670044
27184708	01/18/2014 01:04:07 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10001			WEST 32 STREET	WEST 33 STREET			PLACENAME	NEW YORK	N/A	Open	03/04/2014 01:04:07 PM	01/24/2014 01:20:08 PM	05 MANHATTAN	MANHATTAN	40.7499945918	-73.9921212069
27186081	01/18/2014 12:41:36 PM	01/21/2014 10:08:49 AM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10314	985 RICHMOND AVENUE	RICHMOND AVENUE	BEND	HILLSIDE CEMETERY BOUNDARY			ADDRESS	STATEN ISLAND	N/A	Closed	02/01/2014 12:41:36 PM	01/21/2014 10:08:49 AM	01 STATEN ISLAND	STATEN ISLAND	40.6229081826	-74.1494409277
27188554	01/18/2014 10:41:42 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10011	435 AVENUE OF THE AMERICAS	AVENUE OF THE AMERICAS	CHRISTOPHER STREET	WEST 10 STREET			ADDRESS	NEW YORK	N/A	Open	03/04/2014 10:41:42 AM	01/24/2014 01:21:14 PM	02 MANHATTAN	MANHATTAN	40.7345281859	-73.9989138954
27185037	01/18/2014 08:30:33 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	11421	86-10 JAMAICA AVENUE	JAMAICA AVENUE	86 STREET	87 STREET			ADDRESS	WOODHAVEN	N/A	Open	03/04/2014 08:30:33 AM	01/24/2014 01:21:17 PM	09 QUEENS	QUEENS	40.6925882068	-73.857791706
27172754	01/17/2014 07:40:58 PM	01/23/2014 10:32:12 AM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11222	941 MANHATTAN AVENUE	MANHATTAN AVENUE	KENT STREET	JAVA STREET			ADDRESS	BROOKLYN	N/A	Closed	01/31/2014 07:40:58 PM	01/23/2014 10:32:12 AM	01 BROOKLYN	BROOKLYN	40.7314176186	-73.9544723312
27171084	01/17/2014 07:37:27 PM	01/24/2014 02:37:12 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11222	921 MANHATTAN AVENUE	MANHATTAN AVENUE	GREENPOINT AVENUE	KENT STREET			ADDRESS	BROOKLYN	N/A	Closed	03/03/2014 07:37:27 PM	01/24/2014 02:37:12 PM	01 BROOKLYN	BROOKLYN	40.7308000074	-73.9543681177
27183019	01/17/2014 03:50:45 PM	01/21/2014 12:15:07 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10011	68 GREENWICH AVENUE	GREENWICH AVENUE	PERRY STREET	7 AVENUE			ADDRESS	NEW YORK	N/A	Closed	01/31/2014 03:50:45 PM	01/21/2014 12:15:07 PM	02 MANHATTAN	MANHATTAN	40.7363205111	-74.0009417971
27178278	01/17/2014 08:52:45 AM	01/21/2014 12:12:55 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Senior Center	10303	2099 FOREST AVENUE	FOREST AVENUE	HEANEY AVENUE	BRUCKNER AVENUE			ADDRESS	STATEN ISLAND	N/A	Closed	01/31/2014 08:52:45 AM	01/21/2014 12:12:55 PM	01 STATEN ISLAND	STATEN ISLAND	40.6264083045	-74.1592835379
27163253	01/16/2014 11:04:35 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10018	1435 BROADWAY	BROADWAY	WEST 40 STREET	WEST 41 STREET			ADDRESS	NEW YORK	N/A	Open	03/02/2014 11:04:35 PM	01/21/2014 12:08:05 PM	05 MANHATTAN	MANHATTAN	40.7545394065	-73.9868076254
27166376	01/16/2014 05:23:22 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10280	303 SOUTH END AVENUE	SOUTH END AVENUE	ALBANY STREET	LIBERTY STREET			ADDRESS	NEW YORK	N/A	Open	03/02/2014 05:23:22 PM	01/21/2014 12:10:22 PM	01 MANHATTAN	MANHATTAN	40.7102551366	-74.0163253131
27160145	01/16/2014 04:00:39 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10017	757 3 AVENUE	3 AVENUE	EAST 47 STREET	EAST 48 STREET			ADDRESS	NEW YORK	N/A	Open	03/02/2014 04:00:39 PM	01/21/2014 12:09:13 PM	06 MANHATTAN	MANHATTAN	40.754034484	-73.9720561994
27168566	01/16/2014 03:59:20 PM	01/21/2014 12:11:43 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	10001	325 8 AVENUE	8 AVENUE	WEST 26 STREET	WEST 27 STREET			ADDRESS	NEW YORK	N/A	Closed	01/30/2014 03:59:20 PM	01/21/2014 12:11:43 PM	04 MANHATTAN	MANHATTAN	40.7473433957	-73.9970117356
27164839	01/16/2014 02:47:19 PM	01/21/2014 12:04:39 PM	DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11355	59-08 KISSENA BOULEVARD	KISSENA BOULEVARD	59 AVENUE	60 AVENUE			ADDRESS	FLUSHING	N/A	Closed	01/30/2014 02:47:19 PM	01/21/2014 12:04:39 PM	07 QUEENS	QUEENS	40.7405087215	-73.8150532127
