ID,Business Name,Trade Name,Industry,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number
14172,"FERMIN, JULIA A",P & J JEWLRY,PAWNBROKER,1070186,"3 WEST  183 STREET, BRONX, NY 10453",3,WEST  183 STREET,BRONX,NY,10453,Bronx, ,(718) 733-1826
14402,E Z PAWN CORP, ,PAWNBROKER,1072679,"1878 LEXINGTON AVENUE, NEW YORK, NY 10035",1878,LEXINGTON AVENUE,NEW YORK,NY,10035,Manhattan,STORE #3,(212) 828-0200
15118,GEM FINANCIAL SERVICES INC,GEM PAWNBROKERS,PAWNBROKER,1087334,"1912 FLATBUSH AVENUE, BROOKLYN, NY 11210",1912,FLATBUSH AVENUE,BROOKLYN,NY,11210,Brooklyn, ,(718) 338-7296
16449,"CABRERA, RAMON R",R. C. PAWN BROKERS,PAWNBROKER,1107952,"866 EAST  180 STREET, BRONX, NY 10460",866,EAST  180 STREET,BRONX,NY,10460,Bronx, ,(999) 999-9999
16461,G.W. HTS PAWN BROKER INC, ,PAWNBROKER,1108115,"700 WEST  178 STREET, NEW YORK, NY 10033",700,WEST  178 STREET,NEW YORK,NY,10033,Manhattan, ,(212) 795-7666
16464,A1 PAWN BROKERS INC, ,PAWNBROKER,1108177,"2131 CONEY ISLAND AVENUE, BROOKLYN, NY 11223",2131,CONEY ISLAND AVENUE,BROOKLYN,NY,11223,Brooklyn, ,(718) 627-2622
17367,"N.Y. PAWN BROKERS 2, INC", ,PAWNBROKER,1125229,"303 EAST  149 STREET, BRONX, NY 10451",303,EAST  149 STREET,BRONX,NY,10451,Bronx, ,(718) 665-0252
18004,E Z PAWN CORP, ,PAWNBROKER,1132439,"95-54 ROOSEVELT AVENUE, QUEENS, NY 11372",95-54,ROOSEVELT AVENUE,QUEENS,NY,11372,Queens, ,(718) 565-8600
18186,PAWN IT HERE INC, ,PAWNBROKER,1134626,"9035 SUTPHIN BLVD, JAMAICA, NY 11435",9035,SUTPHIN BLVD,JAMAICA,NY,11435,Queens, ,(718) 558-4100
18367,MODELL COLLATERAL LOANS INC, ,PAWNBROKER,1137112,"150 ATLANTIC AVENUE, BROOKLYN, NY 11201",150,ATLANTIC AVENUE,BROOKLYN,NY,11201,Brooklyn, ,(718) 834-0077
18368,MODELL COLLATERAL LOANS INC, ,PAWNBROKER,1137123,"139 EAST   23 STREET, NEW YORK, NY 10010",139,EAST   23 STREET,NEW YORK,NY,10010,Manhattan, ,(212) 982-1818
18430,CONCOURSE PAWN SHOP INC, ,PAWNBROKER,1138300,"2558 GRAND CONCOURSE, BRONX, NY 10458",2558,GRAND CONCOURSE,BRONX,NY,10458,Bronx, ,(718) 933-9822
18720,BRESS HOLDINGS INC,ROCKAWAY BEACH PAWNBROKERS,PAWNBROKER,1143307,"87-14A ROCKAWAY BEACH BOULEVARD, ROCKAWAY BEACH, NY 11693",87-14A,ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH,NY,11693,Queens, ,(718) 318-2367
18806,QUEENS PAWNBROKERS INC., ,PAWNBROKER,1144751,"94-12 ROOSEVELT AVENUE, JACKSON HEIGHTS, NY 11372",94-12,ROOSEVELT AVENUE,JACKSON HEIGHTS,NY,11372,Queens, ,(718) 505-4301
18932,MR. PAWNBROKER INC., ,PAWNBROKER,1146590,"1016 LONGWOOD AVENUE, BRONX, NY 10459",1016,LONGWOOD AVENUE,BRONX,NY,10459,Bronx, ,(718) 620-7269
19013,"IZAGUIRRE, BARBARA, E",IZAGUIRRE JEWELRY REPAIRS,PAWNBROKER,1147452,"14 WEST BURNSIDE AVENUE, BRONX, NY 10453",14,WEST BURNSIDE AVENUE,BRONX,NY,10453,Bronx, ,(718) 731-2505
19635,MODELL COLLATERAL LOANS LLC, ,PAWNBROKER,1156402,"8413 5 AVENUE, BROOKLYN, NY 11209",8413,5 AVENUE,BROOKLYN,NY,11209,Brooklyn, ,(718) 491-5444
19637,MODELL COLLATERAL LOANS INC, ,PAWNBROKER,1156407,"1736 PITKIN AVENUE, BROOKLYN, NY 11212",1736,PITKIN AVENUE,BROOKLYN,NY,11212,Brooklyn, ,(718) 485-4003
20343,"1517A WATSON PAWNBROKER, INC.", ,PAWNBROKER,1162478,"1517A WATSON AVENUE, BRONX, NY 10472",1517A,WATSON AVENUE,BRONX,NY,10472,Bronx, ,(718) 328-5428
20486,GOLDEN PAWNSHOP CORP, ,PAWNBROKER,1164124,"247 SUYDAM STREET, BROOKLYN, NY 11237",247,SUYDAM STREET,BROOKLYN,NY,11237,Brooklyn, ,(917) 567-5169
20528,DOWNTOWN PAWNSHOP INC., ,PAWNBROKER,1164487,"453 FULTON STREET, BROOKLYN, NY 11201",453,FULTON STREET,BROOKLYN,NY,11201,Brooklyn, ,(718) 834-9054
20636,WESTCHESTER PAWNBROKER INC., ,PAWNBROKER,1166079,"1617 WESTCHESTER AVENUE, BRONX, NY 10472",1617,WESTCHESTER AVENUE,BRONX,NY,10472,Bronx, ,(718) 328-1967
20637,167 PAWNBROKER INC., ,PAWNBROKER,1166080,"196 EAST  167 STREET, BRONX, NY 10456",196,EAST  167 STREET,BRONX,NY,10456,Bronx, ,(718) 537-9127
20730,"AMOROS, JUAN",AMOROS JEWELER'S SHOP,PAWNBROKER,1167500,"1284 ST.NICHOLAS AVENUE, NEW YORK, NY 10033",1284,ST.NICHOLAS AVENUE,NEW YORK,NY,10033,Manhattan, ,(212) 568-4837
21084,"MARTINEZ, PEDRO",JP JEWELRY,PAWNBROKER,1172272,"6 EAST  183 STREET, BRONX, NY 10453",6,EAST  183 STREET,BRONX,NY,10453,Bronx, ,(718) 733-1826
21547,"VILLANUEVA, MYRIAM A",MYRIAM JEWELRY,PAWNBROKER,1179593,"1265A ST NICHOLAS AVENUE, NEW YORK, NY 10033",1265A,ST NICHOLAS AVENUE,NEW YORK,NY,10033,Manhattan, ,(212) 740-6261
21737,"MANHATTAN PAWNBROKER, INC.", ,PAWNBROKER,1181792,"3570 BROADWAY, NEW YORK, NY 10031",3570,BROADWAY,NEW YORK,NY,10031,Manhattan,STORE #7,(999) 999-9999
21894,"VASQUEZ, MARIA P",OGDEN AVENUE PAWN SHOP,PAWNBROKER,1183464,"1004 OGDEN AVENUE, BRONX, NY 10452",1004,OGDEN AVENUE,BRONX,NY,10452,Bronx, ,(718) 991-0342
22511,QUEEN NATASHA INC, ,PAWNBROKER,1188342,"1345 AMSTERDAM AVENUE, NEW YORK, NY 10027",1345,AMSTERDAM AVENUE,NEW YORK,NY,10027,Manhattan, ,(917) 406-3666
22710,"F & D PAWN BROKERS, INC.", ,PAWNBROKER,1189848,"359 WEST   54 STREET, NEW YORK, NY 10019",359,WEST   54 STREET,NEW YORK,NY,10019,Manhattan, ,(845) 216-2578
22975,"SANCHEZ, MARIA",GERARD PAWN BROKERS,PAWNBROKER,1191988,"751 GERARD AVENUE, BRONX, NY 10451",751,GERARD AVENUE,BRONX,NY,10451,Bronx, ,(718) 292-8331
23297,GOLDEN APPLE PAWN SHOP CORP., ,PAWNBROKER,1195374,"403 EAST  138 STREET, BRONX, NY 10454",403,EAST  138 STREET,BRONX,NY,10454,Bronx, ,(718) 665-5323
23299,CHURCH AVENUE PAWN SHOP INC, ,PAWNBROKER,1195394,"2240 CHURCH AVENUE, BROOKLYN, NY 11226",2240,CHURCH AVENUE,BROOKLYN,NY,11226,Brooklyn, ,(718) 469-4033
23350,"CASH DEPOT, INC", ,PAWNBROKER,1195989,"1006 6 AVENUE, NEW YORK, NY 10018",1006,6 AVENUE,NEW YORK,NY,10018,Manhattan, ,(`12) 575-2274
23375,PAWNIT BRUCKNER LTD,PAWNIT,PAWNBROKER,1196305,"1539 BRUCKNER BLVD, BRONX, NY 10472",1539,BRUCKNER BLVD,BRONX,NY,10472,Bronx, ,(718) 861-6100
23402,"JA THIRD AVENUE PAWN SHOP, INC.", ,PAWNBROKER,1196529,"3758 3 AVENUE, BRONX, NY 10456",3758,3 AVENUE,BRONX,NY,10456,Bronx, ,(718) 681-3381
23786,"FORDHAM PAWNBROKER, INC",JEROME PAWNBROKER,PAWNBROKER,1200808,"2436 JEROME AVENUE, BRONX, NY 10468",2436,JEROME AVENUE,BRONX,NY,10468,Bronx, ,(718) 561-7683
24284,"CASH NOW, INC.", ,PAWNBROKER,1205267,"1186 BAY STREET, STATEN ISLAND, NY 10305",1186,BAY STREET,STATEN ISLAND,NY,10305,Staten Island, ,(718) 420-1078
24472,BRISITA JOSE A,180TH ST PAWNSHOP,PAWNBROKER,1207107,"493 E 180TH ST, BRONX, NY 10457-3210",493,E 180TH ST,BRONX,NY,10457-3210,Bronx, ,(718) 561-0005
24560,"PONTE, JAVIER L",NEW YORK JEWELRY,PAWNBROKER,1208299,"58 WEST  183 STREET, BRONX, NY 10453",58,WEST  183 STREET,BRONX,NY,10453,Bronx, ,(718) 364-0808
24863,VICTOR PAWN BROKER INC., ,PAWNBROKER,1211521,"1551 ST NICHOLAS AVENUE, NEW YORK, NY 10040",1551,ST NICHOLAS AVENUE,NEW YORK,NY,10040,Manhattan, ,(212) 795-8763
24942,"ROSAS, VICENTE",VICENTE ROSAS JEWELRY,PAWNBROKER,1212236,"22 EAST  167 STREET, BRONX, NY 10452",22,EAST  167 STREET,BRONX,NY,10452,Bronx, ,(718) 538-1700
25044,"LIBERTY PAWN & FUNDING, INC.", ,PAWNBROKER,1213556,"62 WEST 47 STREET, NEW YORK, NY 10036",62,WEST 47 STREET,NEW YORK,NY,10036,Manhattan,SUITE#304 & 306,(212) 719-2711
25898,"VASQUEZ, MARIA",ARCHER ST PAWN SHOP,PAWNBROKER,1218739,"1871A ARCHER STREET, BRONX, NY 10460",1871A,ARCHER STREET,BRONX,NY,10460,Bronx, ,(718) 684-9997
26057,835 PAWNIT WESTCHESTER LTD, ,PAWNBROKER,1219628,"835 WESTCHESTER AVENUE, BRONX, NY 10455",835,WESTCHESTER AVENUE,BRONX,NY,10455,Bronx, ,(718) 861-6100
26105,"MARTINEZ, PEDRO",M. MART PAWNSHOP,PAWNBROKER,1219908,"275 E 170TH ST, BRONX, NY 10456",275,E 170TH ST,BRONX,NY,10456,Bronx, ,(718) 538-3146
26130,"GEM FINANCIAL SERVICES, INC.",GEM PAWNBROKERS,PAWNBROKER,1220070,"1708 ATLANTIC AVENUE, BROOKLYN, NY 11213",1708,ATLANTIC AVENUE,BROOKLYN,NY,11213,Brooklyn, ,(718) 237-1166
26183,"MUNOZ, EDDIE",E.M. PAWNSHOP,PAWNBROKER,1220442,"380 EAST   10 STREET, NEW YORK, NY 10021",380,EAST   10 STREET,NEW YORK,NY,10021,Manhattan, ,(212) 982-9041
26192,"FAST CASH OF FORDHAM, INC", ,PAWNBROKER,1220536,"334 EAST FORDHAM ROAD, BRONX, NY 10458",334,EAST FORDHAM ROAD,BRONX,NY,10458,Bronx, ,(718) 220-2966
26200,"SERRANO, MARIA",MS JEWELRY,PAWNBROKER,1220601,"679 MORRIS PARK AVENUE, BRONX, NY 10462",679,MORRIS PARK AVENUE,BRONX,NY,10462,Bronx, ,(999) 999-9999
26392,METRO PAWN INC.,PAWN AND SELL PAWNBROKERS,PAWNBROKER,1221783,"222-16 SOUTH CONDUIT AVENUE, SPRINGFIELD GDN, NY 11413",222-16,SOUTH CONDUIT AVENUE,SPRINGFIELD GDN,NY,11413,Queens, ,(718) 949-7296
27165,"COLON, LEONARD",UNIVERSITY JEWELRY EXCHANGE,PAWNBROKER,1228302,"1683 UNIVERSITY AVENUE, BRONX, NY 10453",1683,UNIVERSITY AVENUE,BRONX,NY,10453,Bronx, ,(718) 901-1711
27191,MODELL COLLATERAL LOANS INC, ,PAWNBROKER,1228575,"169 EAST 116TH STREET, NEW YORK, NY 10029",169,EAST 116TH STREET,NEW YORK,NY,10029,Manhattan, ,(212) 400-9001
27568,IZZY'S PAWNSHOP INCORPORATED, ,PAWNBROKER,1231868,"110-42 FLATLANDS AVENUE, BROOKLYN, NY 11207",110-42,FLATLANDS AVENUE,BROOKLYN,NY,11207,Brooklyn, ,(718) 257-5973
27773,"IZAGUIRRE, TOMASA E",JOYERIA ELIZABETH II,PAWNBROKER,1233577,"1495 ST NICHOLAS AVENUE, NEW YORK, NY 10033",1495,ST NICHOLAS AVENUE,NEW YORK,NY,10033,Manhattan, ,(646) 228-5408
28289,CIRCLE PAWNBROKER INC., ,PAWNBROKER,1238345,"118 HUGH J GRANT CIRCLE, BRONX, NY 10472",118,HUGH J GRANT CIRCLE,BRONX,NY,10472,Bronx, ,(646) 515-3887
28568,"GOLD CASH, INC.", ,PAWNBROKER,1240576,"2463 VALENTINE AVENUE, BRONX, NY 10458",2463,VALENTINE AVENUE,BRONX,NY,10458,Bronx,A/K/A 217-219 E 188 STREET,(718) 561-1888
28603,"RODRIGUEZ, JUAN S",SANTIAGO'S JEWELRY,PAWNBROKER,1240983,"2368 UNIVERSITY AVENUE, BRONX, NY 10468",2368,UNIVERSITY AVENUE,BRONX,NY,10468,Bronx, ,(718) 584-4813
28873,E Z PAWN CORP., ,PAWNBROKER,1243031,"2506 FLATBUSH AVENUE, BROOKLYN, NY 11234",2506,FLATBUSH AVENUE,BROOKLYN,NY,11234,Brooklyn, ,(212) 828-0200
28896,"PAULINO, BRAULIO",PAULINO'S PAWN SHOP,PAWNBROKER,1243176,"390 EAST  167 STREET, BRONX, NY 10456",390,EAST  167 STREET,BRONX,NY,10456,Bronx, ,(646) 764-0622
29299,1533 PAWNIT TREMONT CORP, ,PAWNBROKER,1245171,"537A EAST TREMONT AVENUE, BRONX, NY 10457",537A,EAST TREMONT AVENUE,BRONX,NY,10457,Bronx, ,(718) 861-6100
29314,"EIGHTH AVE GOLDEN PAWN SHOP, CORP", ,PAWNBROKER,1245269,"2913 8 AVENUE, NEW YORK, NY 10039",2913,8 AVENUE,NEW YORK,NY,10039,Manhattan, ,(212) 427-0558
29683,A & M COLLECTIBLES CORP.,HOUSTON JEWELRY & COINS,PAWNBROKER,1247217,"309 EAST HOUSTON STREET, NEW YORK, NY 10002",309,EAST HOUSTON STREET,NEW YORK,NY,10002,Manhattan, ,(212) 979-0762
30175,B & J PAWNBROKERS INC, ,PAWNBROKER,1249522,"3125 CHURCH AVENUE, BROOKLYN, NY 11226",3125,CHURCH AVENUE,BROOKLYN,NY,11226,Brooklyn, ,(347) 558-2468
30845,"J.A. BRONX JEWELRY PAWNSHOP, INC.", ,PAWNBROKER,1253721,"2015 ANTHONY AVENUE, BRONX, NY 10457",2015,ANTHONY AVENUE,BRONX,NY,10457,Bronx, ,(718) 901-7701
30851,JOYERIA ELIZABETH I CORP., ,PAWNBROKER,1253775,"551 WEST  207 STREET, NEW YORK, NY 10034",551,WEST  207 STREET,NEW YORK,NY,10034,Manhattan, ,(212) 569-3565
30891,E Z PAWN CORP., ,PAWNBROKER,1254120,"4930 BROADWAY, NEW YORK, NY 10034",4930,BROADWAY,NEW YORK,NY,10034,Manhattan, ,(212) 828-0200
31031,"METROPOLITAN PAWNBROKERS, CORP.", ,PAWNBROKER,1255267,"118-20 ATLANTIC AVENUE, S.RICHMON HILL, NY 11419",118-20,ATLANTIC AVENUE,S.RICHMON HILL,NY,11419,Queens, ,(718) 805-7296
31713,FAST CASH OF APOLLO PAWN SHOP INC., ,PAWNBROKER,1260499,"248 WEST  125 STREET, NEW YORK, NY 10027",248,WEST  125 STREET,NEW YORK,NY,10027,Manhattan, ,(212) 280-0821
31846,JEWELAND JEWELRY INC, ,PAWNBROKER,1261387,"731 ALLERTON AVENUE, BRONX, NY 10467",731,ALLERTON AVENUE,BRONX,NY,10467,Bronx, ,(718) 881-6807
32217,LOMBARD MUTUAL LLC, ,PAWNBROKER,1263247,"36 WEST   47 STREET, NEW YORK, NY 10036",36,WEST   47 STREET,NEW YORK,NY,10036,Manhattan,ROOM 307,(212) 819-0366
32632,"DK JEWELERS, INC.", ,PAWNBROKER,1266486,"3803 BROADWAY, NEW YORK, NY 10032",3803,BROADWAY,NEW YORK,NY,10032,Manhattan, ,(212) 568-9860
32698,"EL BARRIO CARGO EXPRESS, CORP", ,PAWNBROKER,1267223,"2120 3 AVENUE, NEW YORK, NY 10029",2120,3 AVENUE,NEW YORK,NY,10029,Manhattan, ,(212) 860-4460
32702,GENESIS JEWELRY TRADING AND REPAIR SHOP CORP,GENESIS PAWNSHOP,PAWNBROKER,1267247,"2940 FULTON STREET, BROOKLYN, NY 11207",2940,FULTON STREET,BROOKLYN,NY,11207,Brooklyn, ,(718) 827-6255
33004,PUSHKA PAWNSHOP INC, ,PAWNBROKER,1269318,"89-55 164 STREET, JAMAICA, NY 11432",89-55,164 STREET,JAMAICA,NY,11432,Queens, ,(917) 929-6372
33499,S&L PAWN SHOP INC.,PAWN CASH GO,PAWNBROKER,1272523,"768 PORT RICHMOND AVE, STATEN ISLAND, NY 10302",768,PORT RICHMOND AVE,STATEN ISLAND,NY,10302,Staten Island, ,(718) 720-6144
34074,BRONX PAWNBROKER INC., ,PAWNBROKER,1275111,"301 EAST KINGSBRIDGE ROAD, BRONX, NY 10458",301,EAST KINGSBRIDGE ROAD,BRONX,NY,10458,Bronx, ,(718) 220-0200
34156,"5 BOROUGH PAWN , LLC", ,PAWNBROKER,1275361,"93-45A 104 STREET, OZONE PARK, NY 11418",93-45A,104 STREET,OZONE PARK,NY,11418,Queens, ,(718) 847-1864
34538,PAWNIT WALTON CORP, ,PAWNBROKER,1277007,"1405 WALTON AVENUE, BRONX, NY 10452",1405,WALTON AVENUE,BRONX,NY,10452,Bronx, ,(718) 861-6100
34696,"GEM FINANCIAL SERVICES, INC",GEM PAWNBROKERS,PAWNBROKER,1277544,"22-01 31 STREET, ASTORIA, NY 11105",22-01,31 STREET,ASTORIA,NY,11105,Queens, ,(718) 237-1166
35400,EL SOCIO JEWELRY CORP., ,PAWNBROKER,1280542,"69 CLINTON STREET, NEW YORK, NY 10002",69,CLINTON STREET,NEW YORK,NY,10002,Manhattan, ,(212) 982-7027
35401,MODELL COLLATERAL LOANS INC, ,PAWNBROKER,1280543,"36-03 DITMARS BOULEVARD, ASTORIA, NY 11105",36-03,DITMARS BOULEVARD,ASTORIA,NY,11105,Queens, ,(718) 726-2274
35420,CONCOURSE JEWELRY EXCHANGE CORP., ,PAWNBROKER,1280635,"1398 GRAND CONCOURSE, BRONX, NY 10456-1220",1398,GRAND CONCOURSE,BRONX,NY,10456-1220,Bronx, ,(718) 681-7295
35563,EMPIRE PAWNSHOP INC, ,PAWNBROKER,1281455,"799 BROADWAY, BROOKLYN, NY 11206",799,BROADWAY,BROOKLYN,NY,11206,Brooklyn, ,(718) 302-1808
35661,"FRANKIE'S 5 ANGEL'S VARIETY STORE, LLC", ,PAWNBROKER,1282019,"2917 FULTON STREET, BROOKLYN, NY 11207",2917,FULTON STREET,BROOKLYN,NY,11207,Brooklyn, ,(646) 591-6747
35746,BEST DEAL CENTER CORP., ,PAWNBROKER,1282563,"5562A BROADWAY, BRONX, NY 10463",5562A,BROADWAY,BRONX,NY,10463,Bronx, ,(718) 432-2220
35951,E Z PAWN CORP, ,PAWNBROKER,1283846,"5415 5 AVENUE, SUNSET PARK, NY 11220",5415,5 AVENUE,SUNSET PARK,NY,11220,Brooklyn, ,(999) 999-9999
36021,"JAMAICA PAWN, INC.", ,PAWNBROKER,1284431,"90-33A SUTPHIN BOULEVARD, JAMICA, NY 11435",90-33A,SUTPHIN BOULEVARD,JAMICA,NY,11435,Queens, ,(718) 739-6060
36471,MODELL COLLATERAL LOANS INC, ,PAWNBROKER,1287904,"21 WEST   47 STREET, NEW YORK, NY 10036",21,WEST   47 STREET,NEW YORK,NY,10036,Manhattan,2ND FLOOR,(212) 354-4444
36637,"BIG APPLE PAWNBROKERS, LLC", ,PAWNBROKER,1289182,"115-48 SUTPHIN BOULEVARD, JAMAICA, NY 11434",115-48,SUTPHIN BOULEVARD,JAMAICA,NY,11434,Queens, ,(718) 659-4900
37057,RIDGEWOOD EZ PAWN LLC,RIDGEWOOD PAWN,PAWNBROKER,1291892,"54-23A MYRTLE AVENUE, RIDGEWOOD, NY 11385",54-23A,MYRTLE AVENUE,RIDGEWOOD,NY,11385,Queens, ,(718) 497-2274
37060,"BURKE & WHITE PLAINS RD. PAWNBROKERS, LLC", ,PAWNBROKER,1291900,"3201E WHITE PLAINS ROAD, BRONX, NY 10467",3201E,WHITE PLAINS ROAD,BRONX,NY,10467,Bronx, ,(718) 325-2274
37061,82ND & ROOSEVELT PAWNBROKERS & JEWELERS LLC, ,PAWNBROKER,1291902,"82-02 ROOSEVELT AVENUE, QUEENS, NY 11372",82-02,ROOSEVELT AVENUE,QUEENS,NY,11372,Queens, ,(999) 999-9999
