GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",1573,92,1074,125,499,117
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",1909,91,53,34,1856,97
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",843,57,140,41,703,70
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",508,39,9,15,499,41
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",1386,101,141,68,1245,116
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",1318,95,189,68,1129,118
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",772,48,82,41,690,59
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",1336,84,44,39,1292,88
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",475,25,255,57,220,57
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",1636,84,217,74,1419,100
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",2518,101,1557,241,961,242
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",2224,106,206,109,2018,134
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",1236,79,164,64,1072,91
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",1250,71,872,118,378,116
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",1729,90,122,54,1607,103
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",402,26,10,11,392,27
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",2111,120,170,88,1941,138
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",2110,85,60,43,2050,87
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",2032,51,3,13,2029,53
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",1555,77,0,16,1555,77
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",1422,85,66,46,1356,99
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",1792,96,223,94,1569,128
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",892,51,495,87,397,83
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",1415,68,241,80,1174,97
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",1060,46,51,31,1009,50
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",1218,81,197,80,1021,107
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",444,39,272,50,172,44
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",658,53,13,14,645,54
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",1583,119,831,165,752,184
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",1711,77,38,45,1673,86
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",572,53,298,46,274,63
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",0,11,0,11,0,11
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",380,37,219,43,161,46
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",376,25,10,16,366,27
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",773,72,532,89,241,71
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",754,52,54,30,700,62
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",468,28,71,35,397,42
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",0,11,0,11,0,11
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",2276,105,84,80,2192,145
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",2453,116,63,65,2390,130
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",1270,104,20,30,1250,111
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",1662,111,147,76,1515,133
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",1652,65,155,56,1497,79
1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",1101,50,0,11,1101,50
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",981,72,125,60,856,86
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",1608,77,72,58,1536,93
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",1887,82,238,70,1649,94
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",1254,67,39,48,1215,84
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",1448,89,704,104,744,122
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",2455,139,69,74,2386,132
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",2789,108,140,89,2649,142
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",1964,75,0,16,1964,75
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",734,55,171,55,563,83
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",2623,118,62,45,2561,126
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",2120,131,0,16,2120,131
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",2644,126,227,113,2417,151
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",1525,69,179,69,1346,95
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",1327,55,29,34,1298,64
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",825,48,128,40,697,55
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",1002,76,220,84,782,95
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",2609,98,141,81,2468,127
1400000US36005020502,36005020502,"Census Tract 205.02, Bronx County, New York",839,82,148,75,691,84
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",906,103,242,80,664,119
1400000US36005020900,36005020900,"Census Tract 209, Bronx County, New York",1565,99,0,11,1565,99
1400000US36005021001,36005021001,"Census Tract 210.01, Bronx County, New York",3778,201,1128,233,2650,265
1400000US36005021002,36005021002,"Census Tract 210.02, Bronx County, New York",2981,127,432,144,2549,183
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",1853,87,92,47,1761,103
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",2164,163,618,174,1546,203
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",424,37,32,17,392,40
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",1947,66,97,54,1850,86
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",1221,86,13,20,1208,88
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",2104,65,0,16,2104,65
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",1528,82,235,68,1293,103
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",2452,99,381,127,2071,167
1400000US36005021700,36005021700,"Census Tract 217, Bronx County, New York",1591,90,17,18,1574,91
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",2284,129,350,99,1934,140
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",407,25,6,10,401,27
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",452,45,16,13,436,46
1400000US36005022101,36005022101,"Census Tract 221.01, Bronx County, New York",1162,55,0,11,1162,55
1400000US36005022102,36005022102,"Census Tract 221.02, Bronx County, New York",1518,105,26,41,1492,102
1400000US36005022200,36005022200,"Census Tract 222, Bronx County, New York",1089,70,114,57,975,81
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",1804,56,0,16,1804,56
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",1117,38,185,59,932,70
1400000US36005022403,36005022403,"Census Tract 224.03, Bronx County, New York",1305,76,116,58,1189,103
1400000US36005022404,36005022404,"Census Tract 224.04, Bronx County, New York",1788,72,295,104,1493,123
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",2267,111,0,16,2267,111
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",1794,56,72,50,1722,67
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",663,29,5,8,658,30
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",600,27,0,11,600,27
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",2461,118,132,65,2329,145
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",1638,94,46,51,1592,106
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",1053,72,50,41,1003,82
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",986,60,191,65,795,83
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",433,38,33,27,400,43
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",840,69,255,70,585,84
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",1499,61,43,31,1456,67
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",898,80,24,25,874,82
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",1105,36,10,15,1095,38
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",1656,68,51,47,1605,75
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",641,54,108,45,533,60
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",334,45,28,41,306,39
1400000US36005023703,36005023703,"Census Tract 237.03, Bronx County, New York",1403,108,64,59,1339,119
1400000US36005023704,36005023704,"Census Tract 237.04, Bronx County, New York",1282,81,10,15,1272,83
1400000US36005023800,36005023800,"Census Tract 238, Bronx County, New York",757,80,198,50,559,84
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",2499,98,123,66,2376,118
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",1240,86,271,92,969,126
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",1820,89,40,37,1780,92
1400000US36005024300,36005024300,"Census Tract 243, Bronx County, New York",1944,73,91,61,1853,93
1400000US36005024400,36005024400,"Census Tract 244, Bronx County, New York",823,49,357,64,466,70
1400000US36005024501,36005024501,"Census Tract 245.01, Bronx County, New York",1536,76,85,46,1451,92
1400000US36005024502,36005024502,"Census Tract 245.02, Bronx County, New York",1100,85,41,37,1059,85
1400000US36005024600,36005024600,"Census Tract 246, Bronx County, New York",753,63,480,85,273,82
1400000US36005024700,36005024700,"Census Tract 247, Bronx County, New York",687,48,10,11,677,52
1400000US36005024800,36005024800,"Census Tract 248, Bronx County, New York",1189,84,434,123,755,132
1400000US36005024900,36005024900,"Census Tract 249, Bronx County, New York",0,11,0,11,0,11
1400000US36005025000,36005025000,"Census Tract 250, Bronx County, New York",1013,62,472,113,541,120
1400000US36005025100,36005025100,"Census Tract 251, Bronx County, New York",2123,97,180,88,1943,131
1400000US36005025200,36005025200,"Census Tract 252, Bronx County, New York",875,61,333,73,542,90
1400000US36005025300,36005025300,"Census Tract 253, Bronx County, New York",1831,96,59,36,1772,97
1400000US36005025400,36005025400,"Census Tract 254, Bronx County, New York",796,59,311,64,485,83
1400000US36005025500,36005025500,"Census Tract 255, Bronx County, New York",2170,108,54,61,2116,116
1400000US36005025600,36005025600,"Census Tract 256, Bronx County, New York",657,44,219,60,438,72
1400000US36005025700,36005025700,"Census Tract 257, Bronx County, New York",623,50,0,11,623,50
1400000US36005026100,36005026100,"Census Tract 261, Bronx County, New York",954,77,723,100,231,82
1400000US36005026300,36005026300,"Census Tract 263, Bronx County, New York",2106,126,98,63,2008,136
1400000US36005026400,36005026400,"Census Tract 264, Bronx County, New York",2022,157,908,197,1114,203
1400000US36005026500,36005026500,"Census Tract 265, Bronx County, New York",2014,116,173,94,1841,131
1400000US36005026601,36005026601,"Census Tract 266.01, Bronx County, New York",1289,79,228,66,1061,94
1400000US36005026602,36005026602,"Census Tract 266.02, Bronx County, New York",2538,147,537,166,2001,208
1400000US36005026701,36005026701,"Census Tract 267.01, Bronx County, New York",1268,75,17,24,1251,79
1400000US36005026702,36005026702,"Census Tract 267.02, Bronx County, New York",2337,113,270,108,2067,156
1400000US36005026900,36005026900,"Census Tract 269, Bronx County, New York",1325,79,113,58,1212,87
1400000US36005027300,36005027300,"Census Tract 273, Bronx County, New York",2643,120,283,102,2360,151
1400000US36005027401,36005027401,"Census Tract 274.01, Bronx County, New York",1750,140,1197,177,553,169
1400000US36005027402,36005027402,"Census Tract 274.02, Bronx County, New York",1294,126,709,159,585,185
1400000US36005027600,36005027600,"Census Tract 276, Bronx County, New York",16,9,10,8,6,8
1400000US36005027700,36005027700,"Census Tract 277, Bronx County, New York",1754,91,249,105,1505,121
1400000US36005027900,36005027900,"Census Tract 279, Bronx County, New York",2618,173,663,150,1955,213
1400000US36005028100,36005028100,"Census Tract 281, Bronx County, New York",1710,81,1014,139,696,134
1400000US36005028300,36005028300,"Census Tract 283, Bronx County, New York",1272,103,21,18,1251,102
1400000US36005028400,36005028400,"Census Tract 284, Bronx County, New York",44,27,19,15,25,22
1400000US36005028500,36005028500,"Census Tract 285, Bronx County, New York",1536,97,238,79,1298,111
1400000US36005028600,36005028600,"Census Tract 286, Bronx County, New York",442,51,210,49,232,56
1400000US36005028700,36005028700,"Census Tract 287, Bronx County, New York",1166,90,264,95,902,97
1400000US36005028800,36005028800,"Census Tract 288, Bronx County, New York",1167,80,625,98,542,93
1400000US36005028900,36005028900,"Census Tract 289, Bronx County, New York",1731,98,130,63,1601,116
1400000US36005029301,36005029301,"Census Tract 293.01, Bronx County, New York",850,82,630,80,220,70
1400000US36005029302,36005029302,"Census Tract 293.02, Bronx County, New York",2602,145,1472,175,1130,173
1400000US36005029500,36005029500,"Census Tract 295, Bronx County, New York",1854,142,870,134,984,161
1400000US36005029600,36005029600,"Census Tract 296, Bronx County, New York",712,58,96,35,616,61
1400000US36005029700,36005029700,"Census Tract 297, Bronx County, New York",1641,110,953,173,688,152
1400000US36005030000,36005030000,"Census Tract 300, Bronx County, New York",2603,121,831,163,1772,185
1400000US36005030100,36005030100,"Census Tract 301, Bronx County, New York",530,66,264,65,266,64
1400000US36005030200,36005030200,"Census Tract 302, Bronx County, New York",4155,130,1963,286,2192,318
1400000US36005030701,36005030701,"Census Tract 307.01, Bronx County, New York",2589,193,1165,183,1424,178
1400000US36005030900,36005030900,"Census Tract 309, Bronx County, New York",1406,75,764,123,642,108
1400000US36005031000,36005031000,"Census Tract 310, Bronx County, New York",1235,83,1067,107,168,88
1400000US36005031200,36005031200,"Census Tract 312, Bronx County, New York",618,34,501,59,117,50
1400000US36005031400,36005031400,"Census Tract 314, Bronx County, New York",694,29,561,58,133,54
1400000US36005031600,36005031600,"Census Tract 316, Bronx County, New York",629,40,357,76,272,73
1400000US36005031800,36005031800,"Census Tract 318, Bronx County, New York",624,41,354,61,270,59
1400000US36005031900,36005031900,"Census Tract 319, Bronx County, New York",0,11,0,11,0,11
1400000US36005032300,36005032300,"Census Tract 323, Bronx County, New York",2279,176,1396,236,883,158
1400000US36005032400,36005032400,"Census Tract 324, Bronx County, New York",1209,82,141,68,1068,99
1400000US36005032600,36005032600,"Census Tract 326, Bronx County, New York",1037,72,574,93,463,99
1400000US36005032800,36005032800,"Census Tract 328, Bronx County, New York",1375,68,162,60,1213,91
1400000US36005033000,36005033000,"Census Tract 330, Bronx County, New York",1984,127,119,72,1865,139
1400000US36005033201,36005033201,"Census Tract 332.01, Bronx County, New York",1813,113,277,102,1536,147
1400000US36005033202,36005033202,"Census Tract 332.02, Bronx County, New York",1448,121,221,87,1227,141
1400000US36005033400,36005033400,"Census Tract 334, Bronx County, New York",596,57,109,44,487,57
1400000US36005033500,36005033500,"Census Tract 335, Bronx County, New York",767,39,437,69,330,71
1400000US36005033600,36005033600,"Census Tract 336, Bronx County, New York",2629,60,249,94,2380,109
1400000US36005033700,36005033700,"Census Tract 337, Bronx County, New York",934,86,470,71,464,93
1400000US36005033800,36005033800,"Census Tract 338, Bronx County, New York",1274,74,203,68,1071,81
1400000US36005034000,36005034000,"Census Tract 340, Bronx County, New York",1629,84,307,81,1322,109
1400000US36005034200,36005034200,"Census Tract 342, Bronx County, New York",589,46,220,59,369,67
1400000US36005034300,36005034300,"Census Tract 343, Bronx County, New York",559,49,228,47,331,58
1400000US36005034400,36005034400,"Census Tract 344, Bronx County, New York",551,35,326,76,225,77
1400000US36005034500,36005034500,"Census Tract 345, Bronx County, New York",1408,116,608,123,800,151
1400000US36005034800,36005034800,"Census Tract 348, Bronx County, New York",2058,95,749,153,1309,146
1400000US36005035000,36005035000,"Census Tract 350, Bronx County, New York",624,58,312,70,312,69
1400000US36005035100,36005035100,"Census Tract 351, Bronx County, New York",973,110,387,100,586,102
1400000US36005035600,36005035600,"Census Tract 356, Bronx County, New York",667,42,445,71,222,70
1400000US36005035800,36005035800,"Census Tract 358, Bronx County, New York",2439,96,1388,200,1051,214
1400000US36005035900,36005035900,"Census Tract 359, Bronx County, New York",667,43,36,31,631,49
1400000US36005036000,36005036000,"Census Tract 360, Bronx County, New York",928,56,549,94,379,97
1400000US36005036100,36005036100,"Census Tract 361, Bronx County, New York",2147,67,11,19,2136,69
1400000US36005036300,36005036300,"Census Tract 363, Bronx County, New York",2542,126,103,75,2439,154
1400000US36005036400,36005036400,"Census Tract 364, Bronx County, New York",823,68,429,90,394,92
1400000US36005036501,36005036501,"Census Tract 365.01, Bronx County, New York",1302,65,36,34,1266,71
1400000US36005036502,36005036502,"Census Tract 365.02, Bronx County, New York",648,56,95,49,553,75
1400000US36005036700,36005036700,"Census Tract 367, Bronx County, New York",662,41,50,39,612,51
1400000US36005036800,36005036800,"Census Tract 368, Bronx County, New York",636,35,326,71,310,68
1400000US36005036901,36005036901,"Census Tract 369.01, Bronx County, New York",767,43,0,11,767,43
1400000US36005036902,36005036902,"Census Tract 369.02, Bronx County, New York",719,67,47,38,672,80
1400000US36005037000,36005037000,"Census Tract 370, Bronx County, New York",778,47,353,79,425,72
1400000US36005037100,36005037100,"Census Tract 371, Bronx County, New York",1610,111,215,85,1395,135
1400000US36005037200,36005037200,"Census Tract 372, Bronx County, New York",747,57,222,61,525,70
1400000US36005037300,36005037300,"Census Tract 373, Bronx County, New York",1693,99,356,90,1337,113
1400000US36005037400,36005037400,"Census Tract 374, Bronx County, New York",1437,78,119,71,1318,88
1400000US36005037504,36005037504,"Census Tract 375.04, Bronx County, New York",1206,77,58,34,1148,77
1400000US36005037600,36005037600,"Census Tract 376, Bronx County, New York",716,53,184,55,532,76
1400000US36005037800,36005037800,"Census Tract 378, Bronx County, New York",1052,56,182,94,870,89
1400000US36005037900,36005037900,"Census Tract 379, Bronx County, New York",1489,81,62,35,1427,87
1400000US36005038000,36005038000,"Census Tract 380, Bronx County, New York",1610,103,396,92,1214,134
1400000US36005038100,36005038100,"Census Tract 381, Bronx County, New York",2158,103,94,59,2064,110
1400000US36005038200,36005038200,"Census Tract 382, Bronx County, New York",822,57,456,97,366,89
1400000US36005038301,36005038301,"Census Tract 383.01, Bronx County, New York",1536,74,59,53,1477,82
1400000US36005038302,36005038302,"Census Tract 383.02, Bronx County, New York",1852,81,21,22,1831,82
1400000US36005038500,36005038500,"Census Tract 385, Bronx County, New York",1594,83,118,67,1476,90
1400000US36005038600,36005038600,"Census Tract 386, Bronx County, New York",2415,203,473,183,1942,208
1400000US36005038700,36005038700,"Census Tract 387, Bronx County, New York",1148,99,67,35,1081,100
1400000US36005038800,36005038800,"Census Tract 388, Bronx County, New York",809,60,356,84,453,85
1400000US36005038900,36005038900,"Census Tract 389, Bronx County, New York",1715,92,70,41,1645,101
1400000US36005039000,36005039000,"Census Tract 390, Bronx County, New York",989,65,229,79,760,93
1400000US36005039100,36005039100,"Census Tract 391, Bronx County, New York",2347,147,166,91,2181,171
1400000US36005039200,36005039200,"Census Tract 392, Bronx County, New York",557,45,81,37,476,51
1400000US36005039300,36005039300,"Census Tract 393, Bronx County, New York",2924,151,96,72,2828,161
1400000US36005039400,36005039400,"Census Tract 394, Bronx County, New York",1605,69,234,73,1371,93
1400000US36005039500,36005039500,"Census Tract 395, Bronx County, New York",1410,86,194,76,1216,89
1400000US36005039600,36005039600,"Census Tract 396, Bronx County, New York",1209,91,263,97,946,114
1400000US36005039700,36005039700,"Census Tract 397, Bronx County, New York",509,46,11,11,498,46
1400000US36005039800,36005039800,"Census Tract 398, Bronx County, New York",963,78,519,101,444,104
1400000US36005039901,36005039901,"Census Tract 399.01, Bronx County, New York",1616,88,94,58,1522,101
1400000US36005039902,36005039902,"Census Tract 399.02, Bronx County, New York",1641,70,15,19,1626,72
1400000US36005040100,36005040100,"Census Tract 401, Bronx County, New York",1494,66,22,25,1472,70
1400000US36005040302,36005040302,"Census Tract 403.02, Bronx County, New York",1437,63,0,11,1437,63
1400000US36005040303,36005040303,"Census Tract 403.03, Bronx County, New York",1460,92,106,70,1354,104
1400000US36005040304,36005040304,"Census Tract 403.04, Bronx County, New York",1130,93,27,24,1103,89
1400000US36005040400,36005040400,"Census Tract 404, Bronx County, New York",1019,83,420,89,599,96
1400000US36005040501,36005040501,"Census Tract 405.01, Bronx County, New York",1255,117,104,69,1151,119
1400000US36005040502,36005040502,"Census Tract 405.02, Bronx County, New York",2134,142,104,65,2030,149
1400000US36005040600,36005040600,"Census Tract 406, Bronx County, New York",1088,98,288,88,800,119
1400000US36005040701,36005040701,"Census Tract 407.01, Bronx County, New York",1141,59,0,11,1141,59
